"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",1.6633,0.2315,1.2115,2.118,1.1963,2.0982,1,0,1,1.0001,5457.2065,5204.8721
"relationshipromantic",0.134,0.1081,-0.0757,0.3445,-0.0757,0.3446,0.8851,0.1149,0.8851,0.9999,6294.3702,5253.5926
"relationshipseller",0.3471,0.1129,0.1284,0.5727,0.1272,0.5714,0.999,0.001,0.999,1.0001,6212.0392,5447.067
"relationshipsupervisor",0.0509,0.1202,-0.1819,0.2863,-0.1686,0.2972,0.6675,0.3325,0.6675,1.0002,5684.5697,5493.5454
"relationshipteacher",-0.241,0.1094,-0.4619,-0.0287,-0.4633,-0.0304,0.0145,0.9855,0.9855,1.0002,6180.2684,5792.776
"relationshiptherapist",-0.6067,0.1048,-0.8192,-0.3974,-0.8211,-0.4003,0,1,1,1.0001,5942.7814,5676.6414
"relationshipworkers",0.3452,0.0993,0.1471,0.539,0.159,0.5501,0.9998,3e-04,0.9998,1.0003,5489.5543,5522.8093
"realness_matched",-0.0279,0.0337,-0.0961,0.038,-0.095,0.0386,0.2036,0.7964,0.7964,1,5906.512,5881.9149
"anxiety_matched",0.0284,0.033,-0.036,0.0926,-0.0377,0.0908,0.8005,0.1995,0.8005,1.0004,5372.4608,5582.2241
"subjective_experience",0.0623,0.0381,-0.0135,0.1385,-0.0118,0.1401,0.9471,0.0529,0.9471,0.9999,4682.0786,5747.5723
"sentience",-0.0138,0.0389,-0.0869,0.0612,-0.0879,0.0594,0.3596,0.6404,0.6404,1.0008,5312.9036,5874.5156
"self_consciousness",-0.0488,0.0423,-0.1337,0.0347,-0.13,0.0376,0.1249,0.8751,0.8751,1.0002,5002.9177,5191.5376
"well_being",0.0335,0.0438,-0.0514,0.1188,-0.0536,0.1154,0.782,0.218,0.782,1.0008,4745.4285,5453.8594
"autonomy",-0.0315,0.0364,-0.1014,0.0388,-0.1019,0.0378,0.1904,0.8096,0.8096,1,5387.4933,5730.5837
"beneficence",-0.0333,0.0388,-0.1102,0.0424,-0.1085,0.0439,0.1983,0.8018,0.8018,1.0005,5141.6513,5609.884
"cognition",-0.0221,0.0378,-0.0967,0.0528,-0.0999,0.0486,0.2775,0.7225,0.7225,1.0001,4629.3208,5393.4598
"LLM_FreqAboutonceamonth",-0.2474,0.1248,-0.4854,-0.0135,-0.5002,-0.0292,0.0201,0.9799,0.9799,1.0004,5188.0377,5553.3375
"LLM_FreqAboutonceeverytwoweeks",-0.1956,0.1561,-0.5007,0.1004,-0.4997,0.1009,0.1017,0.8982,0.8982,1.0006,4850.7785,5609.2782
"LLM_FreqAboutonceaweek",-0.0811,0.1225,-0.3145,0.1571,-0.3065,0.1637,0.2532,0.7468,0.7468,1.0003,5515.3425,6156.547
"LLM_FreqAboutonceaday",-0.0747,0.1281,-0.325,0.1752,-0.325,0.1752,0.2761,0.7239,0.7239,1.0008,5617.3467,5997.0123
"LLM_FreqMorethanonceaday",0.0798,0.1379,-0.1959,0.3483,-0.2017,0.3408,0.7139,0.2861,0.7139,1.0005,5923.1607,6001.0279
"GenderWoman",-0.0136,0.0642,-0.1417,0.1109,-0.1409,0.1115,0.4202,0.5798,0.5798,0.9999,5369.6128,5488.0923
"GenderOther_small_n",-0.224,0.4105,-0.9874,0.6175,-0.9935,0.6043,0.2919,0.7081,0.7081,1.0004,5316.5713,5304.4965
"Age",-0.0272,0.0328,-0.0913,0.0386,-0.0907,0.0391,0.2074,0.7926,0.7926,1,5295.4224,5471.5842
"EthnBlackDAfrican",0.1948,0.1767,-0.161,0.5448,-0.1537,0.5503,0.858,0.142,0.858,1.0003,5451.4707,5460.7788
"EthnCaucasianDWhite",-0.0585,0.123,-0.302,0.1783,-0.2941,0.185,0.3096,0.6904,0.6904,1.0008,5431.6664,5663.6922
"EthnOther_small_n",-0.0464,0.1994,-0.4397,0.343,-0.4566,0.3233,0.4038,0.5962,0.5962,1,5123.7535,5555.2777
"Relat.StatusYesonepartner",-0.0418,0.0714,-0.1833,0.0976,-0.1857,0.0943,0.2772,0.7228,0.7228,0.9999,5002.68,5066.6928
"Relat.StatusOther_small_n",-0.0344,0.2367,-0.4933,0.4262,-0.5013,0.4132,0.4431,0.5569,0.5569,1.0005,5590.4541,5421.7943
"Education4yeardegree",0.0258,0.1471,-0.2724,0.3125,-0.2658,0.3177,0.5664,0.4336,0.5664,1.0003,5168.3164,5573.9429
"EducationHighschool",0.0064,0.1589,-0.3009,0.3138,-0.3009,0.3141,0.5154,0.4846,0.5154,1.0009,5278.69,5583.2798
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.0616,0.1488,-0.3707,0.2285,-0.3542,0.2442,0.331,0.669,0.669,1.0003,5282.8276,5960.4134
"EducationSomecollege",-0.016,0.1564,-0.3286,0.2941,-0.3208,0.3011,0.4586,0.5414,0.5414,1.0009,5305.2375,5554.8429
"EducationOther_small_n",0.1085,0.4942,-0.8706,1.0765,-0.8456,1.0983,0.585,0.415,0.585,1.0002,5486.1399,5213.779
"StatusLadder",0.0369,0.0326,-0.0258,0.0979,-0.0264,0.0969,0.8674,0.1326,0.8674,1.0004,4733.3719,5563.0304
"Political_Social",-0.0256,0.0537,-0.1303,0.0807,-0.132,0.078,0.3146,0.6854,0.6854,0.9999,5116.4012,4961.8573
"Political_Economic",0.0093,0.0526,-0.0959,0.1149,-0.098,0.1126,0.569,0.431,0.569,0.9999,5369.9407,5169.4584
"How.Religious_1",0.0152,0.0363,-0.0528,0.0844,-0.0517,0.0852,0.6672,0.3328,0.6672,0.9999,5195.5346,5005.7652
