"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",1.5514,0.2612,1.0356,2.0716,1.0008,2.0347,1,0,1,1.0002,5937.6894,5316.2672
"relationshipromantic",-0.4051,0.1312,-0.6591,-0.1482,-0.6606,-0.1502,0.001,0.999,0.999,1.0005,7514.5638,5763.241
"relationshipseller",0.4291,0.1349,0.1678,0.6803,0.1644,0.6743,0.9992,8e-04,0.9992,0.9999,8154.2804,6261.4568
"relationshipsupervisor",-0.2335,0.1319,-0.4961,0.0156,-0.4925,0.0184,0.0324,0.9676,0.9676,1.0004,7898.3139,5683.2302
"relationshipteacher",-0.4935,0.1284,-0.7397,-0.2504,-0.7397,-0.25,0,1,1,1.0005,8145.5823,6055.6735
"relationshiptherapist",-0.474,0.1389,-0.7517,-0.2101,-0.7258,-0.1874,1e-04,0.9999,0.9999,1.0004,7706.1775,5968.0104
"relationshipworkers",0.1085,0.1252,-0.1306,0.3409,-0.1337,0.3364,0.8054,0.1946,0.8054,1.0008,7981.759,6230.9554
"realness_matched",-0.04,0.0415,-0.122,0.0416,-0.1238,0.0392,0.1673,0.8328,0.8328,1,7421.0689,5560.4198
"anxiety_matched",0.0145,0.0357,-0.0569,0.0859,-0.0587,0.0837,0.6544,0.3456,0.6544,1.0003,7259.1716,5963.3514
"subjective_experience",0.1037,0.0505,0.0028,0.203,5e-04,0.2,0.9785,0.0215,0.9785,1,5899.6406,6115.5545
"sentience",0.1227,0.0522,0.0142,0.2281,0.0108,0.223,0.9875,0.0125,0.9875,1.0011,6164.5251,5322.7634
"self_consciousness",-0.1204,0.056,-0.2308,-0.0066,-0.2247,-0.0013,0.0173,0.9828,0.9828,0.9999,6024.3654,5292.0094
"well_being",-6e-04,0.059,-0.1131,0.111,-0.1153,0.1077,0.4958,0.5042,0.5042,1.0005,5944.455,5629.7256
"autonomy",-0.0675,0.0446,-0.1521,0.0203,-0.1554,0.0159,0.0654,0.9346,0.9346,1,6233.9881,5309.225
"beneficence",-0.0283,0.0425,-0.1109,0.0533,-0.1117,0.0514,0.2499,0.7501,0.7501,0.9999,6023.877,5823.3049
"cognition",-0.0144,0.0408,-0.0937,0.0669,-0.0933,0.0671,0.3678,0.6322,0.6322,1.0015,5793.9116,5272.6873
"LLM_FreqAboutonceamonth",0.0793,0.1805,-0.2777,0.4275,-0.2902,0.4131,0.6659,0.3341,0.6659,0.9999,6569.2045,6135.1009
"LLM_FreqAboutonceeverytwoweeks",-0.0699,0.1977,-0.4518,0.3279,-0.4417,0.3338,0.362,0.638,0.638,0.9999,5718.1626,5401.3373
