"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",1.9879,0.276,1.4444,2.516,1.4515,2.5208,1,0,1,1.0005,5845.3059,5685.1438
"relationshipromantic",-0.3509,0.1778,-0.6918,-0.0101,-0.6797,-0.0038,0.0211,0.9789,0.9789,0.9999,6266.112,5875.7458
"relationshipseller",0.256,0.1763,-0.0993,0.6055,-0.093,0.6102,0.9255,0.0745,0.9255,0.9999,6229.0763,5677.2471
"relationshipsupervisor",-0.0704,0.2055,-0.4756,0.3338,-0.4757,0.3338,0.3626,0.6374,0.6374,1.0001,6604.9031,5567.5423
"relationshipteacher",-0.2715,0.1741,-0.6186,0.0638,-0.6123,0.0682,0.0618,0.9382,0.9382,1.0001,5642.8292,5353.4955
"relationshiptherapist",-0.3543,0.1675,-0.6752,-0.0375,-0.6837,-0.0482,0.0155,0.9845,0.9845,1,5937.8029,5868.7905
"relationshipworkers",0.5242,0.1599,0.2058,0.8375,0.2105,0.8398,0.9999,1e-04,0.9999,1,6472.586,6126.0907
"realness_matched",-0.0137,0.0516,-0.1149,0.089,-0.1155,0.0878,0.3939,0.6061,0.6061,1.0001,6099.8047,6186.4624
"anxiety_matched",0.0464,0.0489,-0.0491,0.1403,-0.046,0.1424,0.8251,0.1749,0.8251,0.9999,7159.6245,5995.4524
"subjective_experience",0.0199,0.0587,-0.0935,0.1384,-0.0965,0.1346,0.6408,0.3592,0.6408,1.0003,6367.7829,5787.3383
"sentience",0.0318,0.0596,-0.0819,0.1497,-0.0816,0.1499,0.7046,0.2954,0.7046,0.9999,6626.0439,5895.6389
"self_consciousness",0.1095,0.0642,-0.0163,0.2373,-0.0139,0.2386,0.9526,0.0474,0.9526,1,6762.2871,6080.8905
"well_being",-0.0818,0.06,-0.201,0.0394,-0.1954,0.044,0.0909,0.9091,0.9091,1.0002,6715.3404,5782.1204
"autonomy",0.0641,0.0534,-0.0439,0.1714,-0.0394,0.1758,0.8799,0.1201,0.8799,1.0001,6618.3243,5697.1896
"beneficence",0.0368,0.0524,-0.0647,0.1414,-0.0682,0.1379,0.7595,0.2405,0.7595,1,6047.1042,6022.0667
"cognition",-0.0948,0.056,-0.2065,0.011,-0.203,0.0133,0.0408,0.9592,0.9592,1,6348.5907,5967.6281
"LLM_FreqAboutonceamonth",-0.2994,0.1845,-0.6652,0.0593,-0.6698,0.052,0.0501,0.9499,0.9499,1,6039.5795,5401.3531
"LLM_FreqAboutonceeverytwoweeks",-0.4939,0.2361,-0.9489,-0.0308,-0.9299,-0.0165,0.017,0.983,0.983,0.9999,6112.7647,5245.29
"LLM_FreqAboutonceaweek",-0.168,0.1971,-0.5452,0.2151,-0.5355,0.2236,0.2005,0.7995,0.7995,0.9999,6323.7886,5487.6351
"LLM_FreqAboutonceaday",-0.1097,0.2122,-0.5243,0.3055,-0.5319,0.2953,0.3025,0.6975,0.6975,1,6297.7454,6038.7523
"LLM_FreqMorethanonceaday",-0.2271,0.2314,-0.689,0.2391,-0.7043,0.2161,0.1652,0.8348,0.8348,1.0003,6592.4819,5959.4656
"GenderWoman",-0.2145,0.0969,-0.4036,-0.0162,-0.4039,-0.0172,0.0171,0.9829,0.9829,1.0017,6235.4498,5772.5077
"GenderOther_small_n",-0.2712,0.2823,-0.8401,0.3067,-0.8518,0.2905,0.172,0.828,0.828,1.0007,6191.3008,5694.6991
"Age",-0.0189,0.0502,-0.1185,0.0818,-0.1193,0.0808,0.351,0.649,0.649,1,6003.7049,5623.9871
"EthnBlackDAfrican",0.0111,0.1723,-0.3212,0.3366,-0.3191,0.3389,0.5226,0.4774,0.5226,1,6846.5586,6025.9974
"EthnCaucasianDWhite",-0.0186,0.1383,-0.2872,0.2546,-0.2665,0.2719,0.4515,0.5485,0.5485,1.0002,6372.9117,4879.5099
"EthnOther_small_n",-0.059,0.179,-0.4071,0.2938,-0.4089,0.2906,0.3705,0.6295,0.6295,1.0006,6719.7131,6139.9115
"Relat.StatusYesonepartner",-0.0163,0.1102,-0.2314,0.203,-0.2324,0.2015,0.4417,0.5582,0.5582,1.0001,6067.0624,5776.6113
"Relat.StatusOther_small_n",0.0214,0.2256,-0.4251,0.4684,-0.4303,0.4625,0.5357,0.4642,0.5357,1.0009,5427.5452,5408.579
"EducationHighschool",0.0275,0.1522,-0.2785,0.3294,-0.268,0.3362,0.5741,0.4259,0.5741,1,6581.3094,6042.0955
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.0393,0.1377,-0.3057,0.2329,-0.3101,0.2262,0.3844,0.6156,0.6156,1.0001,6622.5148,5900.3319
"EducationSomecollege",-0.0832,0.134,-0.343,0.1949,-0.3563,0.1744,0.266,0.734,0.734,0.9999,6230.2627,5057.1592
"EducationOther_small_n",-0.0646,0.166,-0.3802,0.2769,-0.3806,0.2763,0.349,0.651,0.651,1,6360.6729,5785.2866
"StatusLadder",0.0508,0.0483,-0.0442,0.147,-0.0455,0.1456,0.8541,0.1459,0.8541,1,6432.3955,6051.6772
"Political_Social",-0.1711,0.0915,-0.353,0.0071,-0.3543,0.0044,0.0302,0.9698,0.9698,1.0001,6253.6454,6135.1009
"Political_Economic",0.1237,0.084,-0.0403,0.2887,-0.0366,0.2909,0.9286,0.0714,0.9286,0.9999,6293.8496,6033.241
"How.Religious_1",0.0515,0.0539,-0.0514,0.1602,-0.0508,0.1609,0.8355,0.1645,0.8355,0.9999,6965.1034,5606.8952
