"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",2.8271,0.2619,2.313,3.3541,2.2929,3.3313,1,0,1,0.9999,5927.5347,5855.3311
"relationshipromantic",0.248,0.1152,0.0174,0.4757,0.0158,0.4736,0.982,0.018,0.982,1,9168.1729,5998.0856
"relationshipseller",-0.9618,0.1137,-1.1815,-0.7425,-1.1815,-0.7423,0,1,1,1,7786.0937,6087.2791
"relationshipsupervisor",-1.383,0.116,-1.6078,-1.1456,-1.62,-1.1597,0,1,1,1,6948.9585,5684.2476
"relationshipteacher",-0.7424,0.1107,-0.9612,-0.5258,-0.9594,-0.5241,0,1,1,1.0002,8066.3975,4804.4331
"relationshiptherapist",-0.7949,0.1106,-0.999,-0.5803,-1.0036,-0.5857,0,1,1,0.9999,8043.2789,5742.8079
"relationshipworkers",-0.6153,0.1032,-0.8191,-0.4076,-0.818,-0.4071,0,1,1,1,7288.0327,5904.3779
"realness_matched",-0.1039,0.0376,-0.1802,-0.0273,-0.1817,-0.0298,0.0035,0.9965,0.9965,1,7149.4103,6049.1423
"anxiety_matched",0.0427,0.0353,-0.0274,0.1129,-0.0285,0.1116,0.8838,0.1163,0.8838,1.0003,7334.1597,5763.0568
"subjective_experience",0.0098,0.0439,-0.0763,0.0973,-0.0802,0.0929,0.5864,0.4136,0.5864,1.0002,6262.3333,6315.8187
"sentience",-0.0551,0.0439,-0.1431,0.0296,-0.1421,0.0303,0.0979,0.9021,0.9021,1,5699.3051,4772.015
"self_consciousness",-0.024,0.0467,-0.1183,0.0707,-0.1148,0.0733,0.302,0.698,0.698,1.0009,6061.5408,5777.9003
"well_being",-0.0121,0.0493,-0.1099,0.0841,-0.1095,0.0845,0.4034,0.5966,0.5966,1,6043.4587,5615.6815
"autonomy",-0.0246,0.0398,-0.1016,0.0553,-0.105,0.0507,0.2691,0.7309,0.7309,0.9999,6043.1358,5623.0734
"beneficence",-0.0167,0.0443,-0.1066,0.0719,-0.1056,0.0729,0.354,0.646,0.646,0.9999,5696.2793,4750.9834
"cognition",-0.0143,0.0445,-0.1011,0.075,-0.1005,0.0753,0.3766,0.6234,0.6234,1.0001,6046.288,5786.045
"LLM_FreqAboutonceamonth",0.0945,0.1441,-0.191,0.3794,-0.1985,0.3679,0.747,0.253,0.747,1.0004,5589.3726,5817.9251
"LLM_FreqAboutonceeverytwoweeks",0.2417,0.1825,-0.1215,0.611,-0.1228,0.6083,0.9067,0.0932,0.9067,1,5904.0445,5454.0798
"LLM_FreqAboutonceaweek",0.1684,0.1461,-0.1207,0.4581,-0.1102,0.4646,0.8805,0.1195,0.8805,1,5520.5347,6002.0968
"LLM_FreqAboutonceaday",0.0675,0.1503,-0.2386,0.3607,-0.2367,0.3617,0.6748,0.3252,0.6748,1,5573.8128,5522.7056
"LLM_FreqMorethanonceaday",0.2808,0.1588,-0.0305,0.5937,-0.0225,0.5995,0.9611,0.0389,0.9611,1.0001,5666.103,6056.5702
"GenderWoman",-0.1446,0.0733,-0.2942,0.0056,-0.2945,0.0049,0.0295,0.9705,0.9705,1,4798.5435,4596.8236
"GenderOther_small_n",0.176,0.4672,-0.7254,1.0677,-0.6924,1.0952,0.6515,0.3485,0.6515,1,7815.6822,6107.0514
"Age",0.0089,0.0378,-0.066,0.0832,-0.0701,0.0788,0.5883,0.4118,0.5883,1,5329.5243,5107.3414
"EthnBlackDAfrican",-0.0031,0.1986,-0.3961,0.3893,-0.396,0.3894,0.4932,0.5068,0.5068,1.0009,5330.9952,6152.0942
"EthnCaucasianDWhite",-0.077,0.1381,-0.3456,0.1922,-0.3371,0.1984,0.2866,0.7134,0.7134,1,6490.8829,6185.3729
"EthnOther_small_n",-0.3345,0.2444,-0.8146,0.1456,-0.8088,0.1499,0.0892,0.9107,0.9107,1.0004,6146.2847,5952.2422
"Relat.StatusYesonepartner",-0.0224,0.0838,-0.1909,0.1421,-0.1911,0.1416,0.3918,0.6082,0.6082,0.9999,5078.6615,5361.1662
"Relat.StatusOther_small_n",0.149,0.3005,-0.4336,0.7475,-0.4183,0.758,0.694,0.306,0.694,0.9999,6823.3488,5859.7159
"Education4yeardegree",-0.1695,0.1732,-0.5112,0.1591,-0.5121,0.1579,0.1588,0.8413,0.8413,1,5747.978,5583.6096
"EducationHighschool",-0.0247,0.1856,-0.3931,0.3384,-0.3935,0.3381,0.4489,0.5511,0.5511,1,5752.9865,5710.0304
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.1504,0.1718,-0.5069,0.182,-0.5103,0.1777,0.1878,0.8122,0.8122,1,5639.9622,5779.5621
"EducationSomecollege",-0.158,0.1862,-0.5266,0.2102,-0.5194,0.2144,0.1964,0.8036,0.8036,0.9999,5002.1211,5673.6537
"EducationOther_small_n",-0.1919,0.6023,-1.3526,1.0054,-1.4276,0.9223,0.3751,0.6249,0.6249,0.9999,7194.0274,6098.2068
"StatusLadder",0.0228,0.0365,-0.0489,0.0947,-0.0527,0.0908,0.7302,0.2698,0.7302,0.9999,5200.5013,5376.5882
"Political_Social",-0.0997,0.0665,-0.2289,0.031,-0.2345,0.025,0.0693,0.9308,0.9308,1.0001,6286.623,5271.9277
"Political_Economic",0.12,0.0645,-0.0054,0.2489,-0.0058,0.2482,0.9696,0.0304,0.9696,1.0003,6319.6477,5745.9032
"How.Religious_1",0.1046,0.0406,0.0264,0.1836,0.0265,0.1837,0.9951,0.0049,0.9951,1.0003,5519.3974,5918.1409
