"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",2.6603,0.3114,2.0645,3.267,2.0445,3.2319,1,0,1,0.9999,4503.7084,4904.3232
"relationshipromantic",0.2499,0.141,-0.0248,0.5158,-0.0221,0.5169,0.9638,0.0362,0.9638,0.9999,8373.0428,5933.4113
"relationshipseller",-0.9867,0.1241,-1.2239,-0.7405,-1.2064,-0.7251,0,1,1,1.0001,7386.0792,6361.0812
"relationshipsupervisor",-1.5366,0.1205,-1.768,-1.2934,-1.7705,-1.2969,0,1,1,1,7693.8057,5865.2489
"relationshipteacher",-0.7859,0.1277,-1.0346,-0.5396,-1.0358,-0.5411,0,1,1,1,7971.4311,6359.8967
"relationshiptherapist",-0.9541,0.1225,-1.1948,-0.7188,-1.1909,-0.7165,0,1,1,1.0003,7355.2204,6013.2382
"relationshipworkers",-0.8313,0.1159,-1.0527,-0.6039,-1.0583,-0.6116,0,1,1,1,8030.5431,5616.1118
"realness_matched",-0.1344,0.0465,-0.2271,-0.0441,-0.2234,-0.0416,0.0014,0.9986,0.9986,0.9999,5334.6261,5776.5699
"anxiety_matched",0.0301,0.0422,-0.0531,0.112,-0.0539,0.1112,0.7582,0.2418,0.7582,0.9999,6041.2794,6043.52
"subjective_experience",0.1128,0.0622,-0.0087,0.2339,-0.0125,0.2293,0.9661,0.0339,0.9661,1,5012.981,5423.6045
"sentience",0.0658,0.0647,-0.0637,0.1953,-0.0699,0.1884,0.8442,0.1558,0.8442,0.9999,4595.3373,5057.4588
"self_consciousness",-0.0806,0.0709,-0.2155,0.0561,-0.2134,0.0581,0.1272,0.8728,0.8728,1.0002,4310.6961,4851.2021
"well_being",-0.1231,0.0681,-0.2549,0.0093,-0.2593,0.004,0.0335,0.9665,0.9665,1,4665.4328,5763.6889
"autonomy",0.0269,0.0513,-0.0752,0.1307,-0.0775,0.1279,0.6994,0.3006,0.6994,1.0004,4342.4677,5249.6581
"beneficence",-0.0689,0.052,-0.1725,0.0342,-0.1697,0.0363,0.0991,0.9009,0.9009,0.9999,4639.7523,5497.1292
"cognition",-0.0654,0.0532,-0.169,0.0374,-0.1699,0.0361,0.1102,0.8898,0.8898,1,4908.6904,5786.3688
"LLM_FreqAboutonceamonth",0.0112,0.2194,-0.4154,0.4488,-0.4372,0.4247,0.5188,0.4812,0.5188,1,4468.0778,5591.8166
"LLM_FreqAboutonceeverytwoweeks",-0.1636,0.2398,-0.6377,0.3045,-0.6423,0.2975,0.2459,0.7541,0.7541,1,4153.2122,5553.8316
"LLM_FreqAboutonceaweek",0.1639,0.202,-0.2518,0.5638,-0.2622,0.5515,0.7881,0.2119,0.7881,1,4356.4157,4924.7559
"LLM_FreqAboutonceaday",0.3341,0.2046,-0.0717,0.7336,-0.0688,0.7347,0.9474,0.0526,0.9474,1.0003,4482.1415,4810.7022
"LLM_FreqMorethanonceaday",0.2771,0.2042,-0.1377,0.687,-0.1183,0.7054,0.9031,0.0969,0.9031,1.0004,4810.3168,4839.5565
"GenderWoman",0.0846,0.0943,-0.1005,0.2635,-0.105,0.2576,0.8136,0.1864,0.8136,1,4650.4781,5554.5302
"GenderOther_small_n",-0.3062,0.3077,-0.925,0.3084,-0.925,0.3085,0.1632,0.8368,0.8368,1.0009,4516.3464,4847.062
"Age",0.0922,0.0498,-0.0051,0.1915,-0.0079,0.1882,0.9698,0.0302,0.9698,0.9999,4167.1254,4861.127
"EthnBlackDAfrican",0.1637,0.2258,-0.2831,0.5929,-0.2734,0.5996,0.7679,0.2321,0.7679,1.0002,4242.9914,5186.7211
"EthnCaucasianDWhite",0.0173,0.2021,-0.3851,0.4105,-0.3761,0.4166,0.5364,0.4636,0.5364,1.0001,4333.4874,5786.7559
"EthnHispanicDLatinx",-0.1695,0.2655,-0.6976,0.3614,-0.7172,0.3358,0.2661,0.7339,0.7339,1,4335.969,5320.8041
"EthnOther_small_n",0.0526,0.2232,-0.3968,0.4953,-0.4028,0.4866,0.5909,0.4091,0.5909,1.0004,4352.4316,5221.9342
"Relat.StatusYesonepartner",-0.0094,0.1067,-0.2174,0.1893,-0.2174,0.1893,0.4644,0.5356,0.5356,1.0009,4536.9283,5384.5915
"Relat.StatusOther_small_n",0.0597,0.2869,-0.4969,0.6288,-0.484,0.6374,0.5834,0.4166,0.5834,1.0005,4478.0238,5143.6695
"Education4yeardegree",0.2022,0.1453,-0.0812,0.4877,-0.0834,0.4838,0.9175,0.0825,0.9175,1.0004,4317.457,4965.293
"EducationHighschool",0.04,0.1864,-0.3287,0.4096,-0.3258,0.4109,0.5845,0.4155,0.5845,1.0009,4471.3936,5495.2161
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",0.006,0.1669,-0.3197,0.3343,-0.3216,0.3306,0.5139,0.4861,0.5139,1.0008,4243.0369,5183.8529
"EducationSomecollege",0.0698,0.1657,-0.2544,0.3883,-0.2568,0.3825,0.6635,0.3365,0.6635,1.0001,4571.5566,5025.0322
"EducationOther_small_n",0.1331,0.3956,-0.6326,0.9139,-0.6101,0.9299,0.6348,0.3652,0.6348,1.0003,4912.6755,5359.909
"StatusLadder",0.0307,0.0462,-0.062,0.1195,-0.0589,0.1219,0.7535,0.2465,0.7535,1.0003,4492.9929,5412.5554
"Political_Social",-0.0134,0.0908,-0.1945,0.1637,-0.1942,0.1642,0.4427,0.5572,0.5572,0.9999,4656.6117,5509.55
"Political_Economic",0.0641,0.0868,-0.1058,0.2408,-0.1083,0.2371,0.7725,0.2275,0.7725,0.9999,4749.1373,5414.915
"How.Religious_1",0.0147,0.0536,-0.0898,0.1188,-0.0925,0.1155,0.6126,0.3874,0.6126,1.0014,4262.0979,4989.9522
