"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",3.1492,0.3431,2.4829,3.8112,2.4741,3.7996,1,0,1,1.0001,4964.3018,5279.9668
"relationshipromantic",-0.1257,0.1721,-0.4639,0.2129,-0.4651,0.2109,0.2321,0.7679,0.7679,0.9999,7487.5617,5487.0391
"relationshipseller",-0.6225,0.1924,-0.994,-0.2572,-0.9989,-0.2641,1e-04,0.9999,0.9999,0.9999,7921.948,5616.8997
"relationshipsupervisor",-1.5421,0.1817,-1.9101,-1.184,-1.9126,-1.1883,0,1,1,0.9999,6980.1288,5491.4387
"relationshipteacher",-0.9574,0.1724,-1.2936,-0.6263,-1.2775,-0.6115,0,1,1,0.9999,8950.2575,5804.6046
"relationshiptherapist",-0.8725,0.1675,-1.2004,-0.5422,-1.206,-0.5517,0,1,1,1.0002,8163.3445,5837.2581
"relationshipworkers",-0.4462,0.1587,-0.7597,-0.1358,-0.7619,-0.1394,0.0022,0.9978,0.9978,1,8051.4033,6178.8508
"realness_matched",-0.0823,0.0632,-0.2046,0.0422,-0.2081,0.0382,0.098,0.902,0.902,1,6988.6734,5726.2626
"anxiety_matched",0.0453,0.0596,-0.0688,0.1616,-0.0675,0.1624,0.7782,0.2218,0.7782,1.0001,6807.0338,5993.9493
"subjective_experience",-0.0481,0.0829,-0.2125,0.11,-0.2089,0.1123,0.2792,0.7208,0.7208,1.0006,4522.5789,5189.3734
"sentience",0.0144,0.0875,-0.1592,0.1856,-0.1571,0.1863,0.5679,0.4321,0.5679,0.9999,4651.4011,4938.7132
"self_consciousness",0.1226,0.0925,-0.0569,0.3038,-0.0501,0.3084,0.9122,0.0877,0.9122,1.0002,4774.3032,5457.7363
"well_being",-0.0305,0.0899,-0.2085,0.1509,-0.2156,0.141,0.3708,0.6292,0.6292,0.9999,4619.056,5538.3036
"autonomy",-0.0953,0.0796,-0.2515,0.06,-0.2541,0.056,0.1119,0.8881,0.8881,1,5102.0118,5732.9077
"beneficence",0.0275,0.0754,-0.1182,0.1767,-0.1155,0.1785,0.6452,0.3548,0.6452,1,4671.3768,5251.4371
"cognition",-0.0674,0.0786,-0.2198,0.0862,-0.2179,0.0874,0.1941,0.8059,0.8059,1,4512.7709,5166.7341
"LLM_FreqAboutonceamonth",-0.2916,0.236,-0.7635,0.1802,-0.7665,0.1748,0.1118,0.8882,0.8882,1.0004,5241.4826,5636.2067
"LLM_FreqAboutonceeverytwoweeks",-0.6361,0.3211,-1.2862,-0.0072,-1.2704,0.0024,0.0232,0.9768,0.9768,1.0004,4835.9692,5497.2375
"LLM_FreqAboutonceaweek",-0.0309,0.2525,-0.5356,0.4727,-0.5499,0.4549,0.4529,0.5471,0.5471,1.0001,5024.7591,5436.5816
"LLM_FreqAboutonceaday",0.0967,0.2867,-0.4633,0.6578,-0.4438,0.67,0.6315,0.3685,0.6315,1.0002,4938.2352,5123.0058
"LLM_FreqMorethanonceaday",0.1072,0.3291,-0.5473,0.746,-0.5004,0.7901,0.624,0.376,0.624,0.9999,4789.5806,5344.8225
"GenderWoman",-0.3259,0.1457,-0.6264,-0.0368,-0.6231,-0.0356,0.0129,0.9871,0.9871,1.0007,4667.2906,5263.8062
"GenderOther_small_n",-0.7075,0.4324,-1.5546,0.1445,-1.6018,0.0918,0.0517,0.9482,0.9482,0.9999,4476.2278,5300.7445
"Age",0.0285,0.0748,-0.1176,0.1741,-0.1208,0.1693,0.6509,0.3491,0.6509,1.0001,4636.6025,5051.1645
"EthnBlackDAfrican",-0.0014,0.2484,-0.4793,0.4939,-0.4883,0.4809,0.4978,0.5022,0.5022,0.9999,4478.9061,4901.3759
"EthnCaucasianDWhite",0.0605,0.2054,-0.3554,0.4565,-0.3514,0.4591,0.6132,0.3868,0.6132,1.0001,4517.3352,5374.9741
"EthnOther_small_n",0.0609,0.2685,-0.468,0.5844,-0.4786,0.5688,0.5955,0.4045,0.5955,1.0012,4514.162,5385.5267
"Relat.StatusYesonepartner",0.0322,0.1598,-0.2889,0.351,-0.2736,0.3644,0.5805,0.4195,0.5805,1,4679.8954,5385.5594
"Relat.StatusOther_small_n",0.2147,0.3385,-0.4486,0.8908,-0.4652,0.8727,0.7365,0.2635,0.7365,0.9999,5020.9735,5738.5839
"EducationHighschool",-0.028,0.2326,-0.4815,0.4214,-0.4827,0.418,0.4531,0.5469,0.5469,1,4822.4225,5312.139
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",0.0271,0.1979,-0.367,0.4157,-0.362,0.4189,0.5498,0.4502,0.5498,1.0003,5007.2839,5661.9349
"EducationSomecollege",-0.0403,0.1973,-0.422,0.3522,-0.4168,0.3563,0.4221,0.5779,0.5779,1.0009,4592.1507,5528.993
"EducationOther_small_n",0.2757,0.2496,-0.2197,0.7631,-0.2267,0.7523,0.8584,0.1416,0.8584,0.9999,4419.9939,5255.4667
"StatusLadder",0.1055,0.071,-0.0346,0.2431,-0.0303,0.2451,0.9305,0.0695,0.9305,0.9999,4821.1641,5450.4682
"Political_Social",-0.2806,0.1376,-0.5487,-0.0067,-0.549,-0.0067,0.023,0.977,0.977,1.0007,4888.0171,5357.0679
"Political_Economic",0.1834,0.1313,-0.0826,0.4482,-0.0783,0.451,0.9124,0.0876,0.9124,1.0005,4720.9716,4821.7264
"How.Religious_1",0.0571,0.0811,-0.0981,0.2167,-0.0993,0.2134,0.7582,0.2418,0.7582,1.0003,4590.3318,5302.7822
