"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",-0.1706,0.1237,-0.4165,0.0614,-0.4051,0.0674,0.0765,0.9235,0.9235,1.0001,10291.6236,6477.4863
"relationshipromantic",0.0937,0.0636,-0.035,0.2182,-0.0321,0.22,0.9281,0.0719,0.9281,0.9999,9075.7682,5844.3937
"relationshipseller",0.229,0.0691,0.0975,0.3681,0.0972,0.3678,0.9996,4e-04,0.9996,0.9999,10169.3109,6420.2782
"relationshipsupervisor",0.2325,0.07,0.0998,0.3737,0.0985,0.3717,1,0,1,0.9999,9520.387,6641.8423
"relationshipteacher",0.1423,0.0604,0.0208,0.2612,0.0234,0.2639,0.9881,0.0119,0.9881,0.9999,11510.4943,6349.7554
"relationshiptherapist",0.1388,0.0563,0.0273,0.2519,0.0229,0.2467,0.9911,0.0089,0.9911,1,10253.4027,5720.344
"relationshipworkers",-0.631,0.1368,-0.8387,-0.2397,-0.8713,-0.3105,0.0026,0.9974,0.9974,1,2586.3847,2261.2487
"realness_matched",0.0172,0.0186,-0.0185,0.056,-0.0191,0.0551,0.8214,0.1786,0.8214,1.0005,9053.2855,5287.4882
"anxiety_matched",4e-04,0.0179,-0.0342,0.0361,-0.0334,0.0366,0.508,0.492,0.508,1,8827.4075,5745.5698
"subjective_experience",0.023,0.0184,-0.0122,0.0621,-0.0137,0.0604,0.8951,0.1049,0.8951,0.9999,9009.748,6063.2507
"sentience",0.0078,0.0196,-0.0295,0.0485,-0.0295,0.0485,0.6544,0.3456,0.6544,1.0003,8432.6668,4928.0637
"self_consciousness",0.0144,0.0211,-0.0253,0.0567,-0.0261,0.0553,0.7565,0.2435,0.7565,1.0002,8536.6689,5682.0974
"well_being",0.0075,0.0215,-0.0363,0.0519,-0.034,0.0535,0.6384,0.3616,0.6384,0.9999,8879.7142,5966.9654
"autonomy",-0.012,0.0178,-0.048,0.0231,-0.0487,0.0218,0.2509,0.7491,0.7491,1.0002,9432.8686,4860.4161
"beneficence",-0.0067,0.0208,-0.0483,0.0345,-0.0477,0.0351,0.3796,0.6204,0.6204,1.0005,9403.6815,5751.71
