"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",0.0543,0.283,-0.5056,0.5946,-0.5035,0.5969,0.572,0.428,0.572,0.9999,5710.7561,5666.4912
"relationshipromantic",-0.3385,0.1202,-0.5754,-0.0996,-0.5733,-0.0972,0.0025,0.9975,0.9975,1.0002,7649.1403,6068.5867
"relationshipseller",0.2622,0.124,0.0212,0.5097,0.0134,0.4997,0.9851,0.0149,0.9851,0.9999,7627.6086,5275.3104
"relationshipsupervisor",0.4662,0.1274,0.2202,0.7147,0.2248,0.7187,0.9998,3e-04,0.9998,1.0001,7466.4846,5761.5169
"relationshipteacher",0.1951,0.1197,-0.0369,0.4304,-0.0414,0.4239,0.949,0.051,0.949,1.0003,8128.5203,5841.4888
"relationshiptherapist",-0.0821,0.1147,-0.3216,0.1493,-0.3084,0.1599,0.2338,0.7662,0.7662,0.9999,8221.2247,6417.4739
"relationshipworkers",-0.6241,0.1401,-0.898,-0.3492,-0.896,-0.3479,0,1,1,1,7477.2807,5899.6721
"realness_matched",0.0794,0.0441,-0.0061,0.1655,-0.0065,0.165,0.9649,0.0351,0.9649,1,6554.2644,6264.2124
"anxiety_matched",0.0148,0.0396,-0.0629,0.093,-0.0619,0.0937,0.644,0.356,0.644,1.0003,7425.4074,6311.266
"subjective_experience",0.1432,0.0562,0.0351,0.2534,0.0375,0.2547,0.995,0.005,0.995,1.0005,5054.7114,4803.8415
"sentience",0.113,0.0606,-0.0039,0.233,-0.0076,0.2282,0.9718,0.0283,0.9718,1.0008,5417.4466,5126.8648
"self_consciousness",-0.0045,0.0641,-0.1321,0.1206,-0.1291,0.1229,0.4694,0.5306,0.5306,1,5895.0153,4565.5312
"well_being",0.0565,0.0612,-0.0682,0.1785,-0.0657,0.1802,0.8225,0.1775,0.8225,1.0001,5370.8501,5754.7983
"autonomy",-0.0231,0.048,-0.1188,0.0714,-0.1188,0.0714,0.3192,0.6808,0.6808,0.9999,5915.418,5692.2463
"beneficence",0,0.0486,-0.0949,0.0979,-0.0958,0.0966,0.5,0.5,0.5,1.0001,4915.4774,5378.4015
"cognition",-0.0172,0.0472,-0.1105,0.0759,-0.1118,0.0744,0.3599,0.6401,0.6401,1.0006,4951.4931,4716.943
"LLM_FreqAboutonceamonth",-0.0882,0.1958,-0.4821,0.2946,-0.482,0.2954,0.3231,0.6769,0.6769,1.0006,4892.7984,5843.8492
"LLM_FreqAboutonceeverytwoweeks",-0.2743,0.2246,-0.7007,0.175,-0.721,0.1535,0.1139,0.8861,0.8861,1.0002,4986.3985,5628.3656
"LLM_FreqAboutonceaweek",-0.2648,0.1863,-0.6241,0.1077,-0.6316,0.0975,0.0774,0.9226,0.9226,1.0003,4636.9888,5244.4399
"LLM_FreqAboutonceaday",-0.0559,0.1827,-0.4359,0.3093,-0.4212,0.3202,0.3743,0.6258,0.6258,1.0007,5103.7138,5400.1956
"LLM_FreqMorethanonceaday",-0.0708,0.1955,-0.4501,0.3069,-0.4415,0.3125,0.3536,0.6464,0.6464,1.0006,5256.5417,5627.9299
"GenderWoman",-0.0571,0.0833,-0.2219,0.1092,-0.2192,0.1107,0.244,0.756,0.756,1.0007,4955.5729,5677.1188
"GenderOther_small_n",0.435,0.2811,-0.1145,1.0009,-0.1285,0.9853,0.9345,0.0655,0.9345,1,5410.7906,5136.5229
"Age",0.02,0.0454,-0.0661,0.1082,-0.0665,0.1075,0.6672,0.3328,0.6672,1.0003,5188.7697,4784.7293
"EthnBlackDAfrican",0.0751,0.2055,-0.3247,0.4865,-0.3204,0.4887,0.638,0.362,0.638,0.9999,5795.984,4583.8288
"EthnCaucasianDWhite",-0.0742,0.1767,-0.4217,0.2818,-0.426,0.2765,0.3371,0.6629,0.6629,1.0001,5732.3169,5021.4272
"EthnHispanicDLatinx",-0.2411,0.2508,-0.7304,0.2449,-0.7077,0.2664,0.1625,0.8375,0.8375,1.001,5197.5342,5355.7425
"EthnOther_small_n",-0.2821,0.2028,-0.6969,0.1286,-0.6763,0.1452,0.0867,0.9132,0.9132,1,5835.7919,5742.1904
"Relat.StatusYesonepartner",0.0169,0.0918,-0.1689,0.2094,-0.1742,0.2007,0.5724,0.4276,0.5724,1,5849.4203,5483.4817
"Relat.StatusOther_small_n",-0.1176,0.2581,-0.6534,0.3907,-0.6602,0.3831,0.3195,0.6805,0.6805,1.0004,5327.1172,5331.3855
"Education4yeardegree",0.0071,0.1321,-0.2503,0.2618,-0.2568,0.2538,0.5209,0.4791,0.5209,1.0005,5320.611,5203.9099
"EducationHighschool",-0.0027,0.1744,-0.3398,0.3336,-0.3492,0.3209,0.4944,0.5056,0.5056,1,6029.7382,5941.2607
