"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",-0.1915,0.1869,-0.58,0.1575,-0.5731,0.1628,0.1486,0.8514,0.8514,0.9999,7897.5487,6080.1285
"relationshipromantic",0.0241,0.1157,-0.1936,0.2653,-0.2048,0.254,0.58,0.42,0.58,1.0003,9971.0289,5936.4098
"relationshipseller",-0.0743,0.1289,-0.3184,0.1789,-0.3269,0.1703,0.28,0.72,0.72,1.0003,9028.1333,5668.831
"relationshipsupervisor",0.2154,0.1298,-0.0244,0.4963,-0.0301,0.4874,0.9605,0.0395,0.9605,0.9999,6324.4088,4784.5245
"relationshipteacher",-0.0211,0.1268,-0.2726,0.2257,-0.2677,0.2296,0.4345,0.5655,0.5655,1,10098.6025,6531.9106
"relationshiptherapist",0.0814,0.1177,-0.1512,0.3184,-0.1585,0.3095,0.7541,0.2459,0.7541,1,10376.0629,5596.0779
"relationshipworkers",-0.7177,0.1865,-1.0689,-0.3134,-1.0784,-0.3281,1e-04,0.9999,0.9999,0.9999,4672.0512,5276.2793
"realness_matched",0.0385,0.0397,-0.0369,0.1169,-0.0369,0.117,0.8426,0.1574,0.8426,1.0008,7449.5287,5005.8593
"anxiety_matched",0.0206,0.0377,-0.0551,0.0982,-0.0578,0.0935,0.7029,0.2971,0.7029,1.0004,6929.8268,5068.4335
"subjective_experience",0.0133,0.0414,-0.07,0.0978,-0.0704,0.0974,0.6195,0.3805,0.6195,0.9999,8629.069,5515.2112
"sentience",0.0778,0.047,-0.0133,0.1762,-0.0135,0.1755,0.9534,0.0466,0.9534,1.0004,7220.8994,4681.208
"self_consciousness",0.02,0.0462,-0.0717,0.11,-0.0698,0.1117,0.6701,0.3299,0.6701,0.9999,7053.1139,5320.5467
"well_being",0.0536,0.0471,-0.0379,0.1472,-0.0359,0.1483,0.8749,0.1251,0.8749,1.0003,7037.4522,5346.6671
"autonomy",0.045,0.0406,-0.0317,0.1259,-0.0344,0.1229,0.8695,0.1305,0.8695,1,6818.6409,5528.1485
"beneficence",0.064,0.041,-0.0134,0.152,-0.0162,0.1484,0.9485,0.0515,0.9485,1.0005,6786.9277,4634.842
"cognition",-0.0389,0.0437,-0.1259,0.0492,-0.1286,0.0454,0.1875,0.8125,0.8125,1,6730.7603,5433.5861
"LLM_FreqAboutonceamonth",-0.0052,0.127,-0.2596,0.2532,-0.255,0.2564,0.4856,0.5144,0.5144,1.0005,7021.1239,5714.3171
"LLM_FreqAboutonceeverytwoweeks",-0.1034,0.1678,-0.4403,0.2405,-0.4403,0.2406,0.2701,0.7299,0.7299,1.0007,6695.3754,5518.054
"LLM_FreqAboutonceaweek",0.1406,0.1349,-0.1267,0.4229,-0.1322,0.4164,0.854,0.146,0.854,1.0009,6885.6942,5042.5401
"LLM_FreqAboutonceaday",0.1804,0.1546,-0.1064,0.4891,-0.1009,0.4929,0.8896,0.1104,0.8896,1.0016,6789.0808,5464.4561
"LLM_FreqMorethanonceaday",0.0243,0.1763,-0.3158,0.3803,-0.307,0.387,0.5512,0.4488,0.5512,1.0009,6991.7299,5691.6801
"GenderWoman",0.0533,0.0754,-0.0939,0.2047,-0.1025,0.1951,0.754,0.246,0.754,0.9999,7702.2977,5353.9315
"GenderOther_small_n",0.0653,0.2138,-0.3985,0.4985,-0.3718,0.5208,0.621,0.379,0.621,1.0002,7226.2845,4992.4802
"Age",0.0493,0.0397,-0.0259,0.1331,-0.0276,0.131,0.8975,0.1025,0.8975,1,6367.7914,5271.658
"EthnBlackDAfrican",-0.0425,0.1317,-0.3049,0.2172,-0.3086,0.213,0.3746,0.6254,0.6254,0.9999,7264.5044,5466.1852
"EthnCaucasianDWhite",-0.0398,0.1151,-0.2622,0.1827,-0.2542,0.1892,0.3578,0.6422,0.6422,1,7223.0539,5469.7756
"EthnOther_small_n",-0.0187,0.1427,-0.2997,0.2677,-0.2879,0.2761,0.4462,0.5538,0.5538,1.0001,6943.0155,5252.8363
"Relat.StatusYesonepartner",-0.0668,0.0854,-0.2349,0.0972,-0.2277,0.1015,0.2162,0.7837,0.7837,1.0002,7862.9538,4962.1152
"Relat.StatusOther_small_n",-0.1582,0.1933,-0.5541,0.1954,-0.5202,0.2232,0.2013,0.7988,0.7988,1.0003,8211.6071,5053.4682
"EducationHighschool",0.0286,0.1269,-0.2255,0.2687,-0.2152,0.2753,0.5864,0.4136,0.5864,1,7445.9423,5328.376
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",0.2154,0.0985,0.0294,0.4177,0.0286,0.4169,0.9869,0.0131,0.9869,1,6071.959,5484.9913
"EducationSomecollege",0.0503,0.0999,-0.1518,0.2504,-0.1391,0.2596,0.6876,0.3124,0.6876,1.0008,6792.9091,5083.6695
"EducationOther_small_n",0.0529,0.1356,-0.2192,0.3229,-0.21,0.3304,0.6522,0.3478,0.6522,1.0009,7086.2355,5153.1318
"StatusLadder",-0.019,0.0376,-0.0948,0.0517,-0.0901,0.0559,0.3021,0.6979,0.6979,1.0009,6200.229,4703.4918
"Political_Social",0.0383,0.0742,-0.11,0.1819,-0.1077,0.1828,0.7028,0.2972,0.7028,1.0007,6895.9573,5058.6446
"Political_Economic",8e-04,0.0678,-0.1316,0.139,-0.1286,0.1403,0.5051,0.4949,0.5051,1.0001,7163.9669,5055.8021
"How.Religious_1",0.0232,0.0397,-0.0548,0.1012,-0.0541,0.1014,0.7245,0.2755,0.7245,1,6644.2494,6020.7666
