"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",-0.1937,0.4089,-0.9499,0.5993,-0.9506,0.5993,0.3189,0.6811,0.6811,1.0001,6871.7863,5991.6508
"relationshipromantic",-0.0801,0.1834,-0.44,0.2746,-0.4329,0.2776,0.3324,0.6676,0.6676,1.0001,9619.8455,6418.8963
"relationshipseller",1.0717,0.1638,0.7575,1.3894,0.7591,1.3911,1,0,1,1.0001,8927.3433,5897.3219
"relationshipsupervisor",0.5197,0.177,0.1818,0.8658,0.1805,0.8635,0.9984,0.0016,0.9984,1,8867.479,6314.9719
"relationshipteacher",1.8299,0.1652,1.5008,2.1519,1.5086,2.1563,1,0,1,1.0001,9062.3967,5950.0509
"relationshiptherapist",1.6707,0.1647,1.3476,1.9897,1.35,1.9902,1,0,1,1.0002,8716.4081,6175.9367
"relationshipworkers",-0.1074,0.1715,-0.4402,0.2262,-0.4402,0.2263,0.2638,0.7362,0.7362,0.9999,8901.1011,6090.6706
"realness_matched",0.0498,0.0551,-0.0591,0.1559,-0.0531,0.161,0.8125,0.1875,0.8125,1,7912.757,6166.929
"anxiety_matched",-0.0509,0.0514,-0.1516,0.0494,-0.1488,0.0515,0.1604,0.8396,0.8396,0.9999,8223.2528,6447.7476
"subjective_experience",0.1181,0.0653,-0.0127,0.2435,-0.0099,0.2454,0.961,0.039,0.961,1,6506.0319,6161.1365
"sentience",0.1097,0.0659,-0.024,0.2411,-0.0233,0.2415,0.947,0.053,0.947,1.0003,6926.6737,5786.7261
"self_consciousness",0.0107,0.0704,-0.126,0.1501,-0.1264,0.1488,0.5654,0.4346,0.5654,1.0003,6577.6303,6000.8414
"well_being",0.0734,0.0735,-0.0664,0.2158,-0.0724,0.2084,0.8455,0.1545,0.8455,1,6583.9041,5855.2159
"autonomy",-0.0068,0.0588,-0.1203,0.1049,-0.1211,0.104,0.4548,0.5452,0.5452,1,6829.3692,6337.8666
"beneficence",-0.0327,0.0681,-0.165,0.0972,-0.1644,0.0974,0.3144,0.6856,0.6856,1,6757.1278,6136.2644
"cognition",0.0086,0.0689,-0.1236,0.1382,-0.1294,0.1323,0.5525,0.4475,0.5525,1.0004,6106.3728,5502.9874
"LLM_FreqAboutonceamonth",0.0667,0.2025,-0.3283,0.4534,-0.3251,0.4573,0.6252,0.3748,0.6252,1,6268.4128,6054.8015
"LLM_FreqAboutonceeverytwoweeks",-0.173,0.2682,-0.7035,0.3658,-0.7069,0.3607,0.2566,0.7434,0.7434,1.0002,6516.4971,5578.235
"LLM_FreqAboutonceaweek",0.021,0.1979,-0.3857,0.4235,-0.3694,0.4298,0.5395,0.4605,0.5395,1.0001,6404.9679,5685.3735
"LLM_FreqAboutonceaday",0.1334,0.2197,-0.2885,0.5608,-0.2714,0.5731,0.7324,0.2676,0.7324,1.0001,6552.9215,5397.2517
"LLM_FreqMorethanonceaday",0.209,0.2337,-0.2475,0.6681,-0.2248,0.6864,0.8161,0.1839,0.8161,0.9999,6303.0489,5553.8631
"GenderWoman",-0.0832,0.1096,-0.2989,0.1355,-0.3054,0.1269,0.2255,0.7745,0.7745,1.0002,6784.9221,6315.2727
"GenderOther_small_n",0.0146,0.6413,-1.2598,1.2783,-1.2745,1.2495,0.5071,0.4929,0.5071,0.9999,8282.0173,5873.7243
"Age",0.0301,0.0544,-0.0793,0.1385,-0.0757,0.1409,0.7092,0.2908,0.7092,1.0002,6438.6953,6366.8624
"EthnBlackDAfrican",0.0484,0.2935,-0.5385,0.6233,-0.5374,0.6241,0.5624,0.4376,0.5624,1.0009,6745.941,6393.4461
"EthnCaucasianDWhite",-0.1071,0.2111,-0.5207,0.2901,-0.5244,0.2853,0.3075,0.6925,0.6925,0.9999,7013.9695,6087.5336
"EthnOther_small_n",0.0323,0.3613,-0.6726,0.7647,-0.682,0.7428,0.5339,0.4661,0.5339,1.0002,6751.1159,5891.6562
"Relat.StatusYesonepartner",-0.0428,0.1218,-0.2846,0.1969,-0.2872,0.1929,0.3684,0.6316,0.6316,1.0001,6770.5672,5358.226
"Relat.StatusOther_small_n",0.2944,0.4342,-0.5334,1.1537,-0.5171,1.1662,0.7484,0.2516,0.7484,1.0001,7152.7661,6172.7185
"Education4yeardegree",-0.3998,0.251,-0.8982,0.0863,-0.8654,0.1151,0.0554,0.9446,0.9446,1,6406.1349,5800.3424
"EducationHighschool",-0.327,0.2662,-0.8565,0.2123,-0.8381,0.2265,0.112,0.888,0.888,1,6454.7575,5790.7335
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.3489,0.2576,-0.8571,0.1524,-0.8547,0.1549,0.0856,0.9144,0.9144,1,6597.9338,5710.0304
"EducationSomecollege",-0.5008,0.2738,-1.0468,0.0285,-1.0368,0.0369,0.0316,0.9684,0.9684,0.9999,6274.3107,6088.4212
"EducationOther_small_n",-0.6805,0.9095,-2.468,1.1175,-2.5578,1.0283,0.2245,0.7755,0.7755,1.0021,8197.636,6006.6715
"StatusLadder",0.0203,0.0536,-0.084,0.1313,-0.0879,0.1267,0.6516,0.3484,0.6516,1.0001,6142.646,5844.5523
"Political_Social",0.0774,0.0917,-0.1039,0.2559,-0.1051,0.2541,0.7949,0.2051,0.7949,1.0002,6389.8403,5808.0676
"Political_Economic",0.0026,0.0923,-0.1722,0.1786,-0.1627,0.1875,0.512,0.488,0.512,1.0001,6729.1144,5660.8741
"How.Religious_1",0.0737,0.0628,-0.0485,0.1918,-0.0488,0.1915,0.8831,0.1169,0.8831,0.9999,6605.9329,5994.4615
