"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",-0.0379,0.382,-0.7689,0.6994,-0.7755,0.6871,0.4635,0.5365,0.5365,0.9999,5695.8129,5313.6225
"relationshipromantic",-0.0035,0.1903,-0.3755,0.3723,-0.3769,0.3692,0.4914,0.5086,0.5086,0.9999,7161.2195,6068.551
"relationshipseller",0.5676,0.1731,0.2411,0.8998,0.2405,0.8991,0.9998,3e-04,0.9998,1.0002,7730.9423,5868.3824
"relationshipsupervisor",0.2336,0.17,-0.094,0.573,-0.0786,0.5875,0.9171,0.0829,0.9171,1.0001,7645.1969,5690.323
"relationshipteacher",1.3108,0.1806,0.9581,1.6826,0.94,1.6638,1,0,1,1,7607.3299,4977.0892
"relationshiptherapist",0.9274,0.1744,0.5815,1.276,0.591,1.2826,1,0,1,1.0001,8678.4658,5895.858
"relationshipworkers",-0.0321,0.1769,-0.3814,0.3056,-0.388,0.2956,0.427,0.573,0.573,1.0002,8774.2432,6237.2334
"realness_matched",0.1469,0.0569,0.0336,0.2598,0.0336,0.2598,0.994,0.006,0.994,1,6567.8722,6274.2334
"anxiety_matched",0.0791,0.0561,-0.0297,0.1873,-0.0278,0.189,0.9259,0.0741,0.9259,1,6157.0334,5290.7343
"subjective_experience",0.1797,0.0743,0.0298,0.3314,0.0328,0.3329,0.9916,0.0084,0.9916,1.0001,5514.882,5764.3327
"sentience",0.0541,0.0828,-0.1026,0.2111,-0.0927,0.2206,0.7498,0.2502,0.7498,1.002,5376.7779,5568.1488
"self_consciousness",0.0352,0.0837,-0.1273,0.205,-0.1173,0.2134,0.6601,0.3399,0.6601,1,4952.525,5469.3065
"well_being",0.1753,0.0812,0.0134,0.3359,0.015,0.3364,0.9845,0.0155,0.9845,1.0005,5383.5708,5825.4825
"autonomy",-0.0753,0.0622,-0.1969,0.0499,-0.2006,0.0452,0.1194,0.8806,0.8806,1.0001,4965.8863,5609.1019
"beneficence",-0.0435,0.0656,-0.1699,0.0846,-0.1646,0.0892,0.2545,0.7455,0.7455,1,5412.6361,5754.4721
"cognition",-0.0725,0.0631,-0.1953,0.0508,-0.1964,0.0493,0.1284,0.8716,0.8716,1.0004,5239.5453,5302.2866
"LLM_FreqAboutonceamonth",-0.2149,0.2685,-0.7479,0.3044,-0.7275,0.3232,0.2095,0.7905,0.7905,1.0001,5783.9919,5695.6876
"LLM_FreqAboutonceeverytwoweeks",-0.3873,0.2955,-0.9758,0.1919,-0.972,0.1946,0.0896,0.9104,0.9104,1.0001,5570.3358,5633.9159
"LLM_FreqAboutonceaweek",-0.1779,0.2609,-0.6698,0.3127,-0.6731,0.3058,0.2482,0.7518,0.7518,0.9999,5591.4117,5602.3755
"LLM_FreqAboutonceaday",0.0624,0.2547,-0.4472,0.5658,-0.4095,0.5935,0.6006,0.3994,0.6006,1.0002,5451.3338,6039.6761
"LLM_FreqMorethanonceaday",0.02,0.2628,-0.4917,0.5329,-0.4981,0.5241,0.5315,0.4685,0.5315,1.0001,5763.053,5524.7155
"GenderWoman",0.1633,0.1101,-0.0572,0.3859,-0.0591,0.3832,0.9239,0.0761,0.9239,1.0008,5047.0784,5362.5995
"GenderOther_small_n",0.7139,0.3596,0.0045,1.439,0.0101,1.4436,0.9755,0.0245,0.9755,1.0003,4695.5057,5088.9656
"Age",-0.042,0.06,-0.1577,0.076,-0.157,0.0766,0.2424,0.7576,0.7576,1,5260.2482,5618.4755
"EthnBlackDAfrican",-0.2898,0.2651,-0.8161,0.2243,-0.8115,0.2263,0.1339,0.8661,0.8661,0.9999,5311.1338,5722.8176
"EthnCaucasianDWhite",-0.1746,0.2329,-0.6236,0.2782,-0.6255,0.2765,0.2262,0.7738,0.7738,1.0002,5247.0248,5572.9336
"EthnHispanicDLatinx",-0.4004,0.3279,-1.0397,0.2347,-1.0249,0.2461,0.1098,0.8902,0.8902,1.0003,4763.1108,5496.2585
"EthnOther_small_n",-0.4427,0.2688,-0.974,0.0994,-0.9724,0.101,0.0556,0.9444,0.9444,1.0003,5138.4267,5432.4758
"Relat.StatusYesonepartner",-0.0382,0.1277,-0.2854,0.2111,-0.2775,0.2157,0.389,0.611,0.611,1.0004,5306.9642,5855.8874
"Relat.StatusOther_small_n",-0.3603,0.3669,-1.0651,0.3806,-1.0482,0.3914,0.1635,0.8365,0.8365,0.9999,5092.8069,5645.9773
"Education4yeardegree",0.0314,0.181,-0.3257,0.3849,-0.3176,0.3918,0.5622,0.4377,0.5622,0.9999,4987.2853,5450.7777
"EducationHighschool",0.1158,0.2302,-0.3304,0.5644,-0.3184,0.5724,0.7002,0.2998,0.7002,1,5368.2749,5247.3653
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.1362,0.2022,-0.5349,0.2661,-0.5378,0.2589,0.248,0.752,0.752,1.0004,4790.5152,4905.7155
"EducationSomecollege",0.1495,0.2039,-0.2569,0.5576,-0.2456,0.5655,0.7674,0.2326,0.7674,1,4863.4803,5082.8702
