"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"Intercept",-0.1006,0.3816,-0.8446,0.657,-0.8415,0.6583,0.3969,0.6031,0.6031,1.0003,4327.5249,5266.0432
"relationshipromantic",-0.0885,0.2209,-0.5246,0.3506,-0.5117,0.3619,0.3402,0.6597,0.6597,1,6715.2477,5472.2247
"relationshipseller",0.3007,0.2204,-0.1305,0.7384,-0.1242,0.7429,0.9152,0.0848,0.9152,1.0003,5771.0035,5607.9899
"relationshipsupervisor",0.0698,0.2173,-0.3703,0.5002,-0.3601,0.5078,0.6196,0.3804,0.6196,1.0007,6006.0099,5565.0062
"relationshipteacher",0.928,0.2299,0.4822,1.3904,0.4701,1.3742,1,0,1,1.0012,6061.3109,4887.932
"relationshiptherapist",0.7025,0.2167,0.285,1.1415,0.2833,1.1398,0.9998,3e-04,0.9998,1.0008,6736.6364,5449.0279
"relationshipworkers",-0.5566,0.2455,-1.0342,-0.0658,-1.0286,-0.0633,0.0136,0.9864,0.9864,1.0004,6228.8898,4909.2431
"realness_matched",0.0303,0.0737,-0.1124,0.1749,-0.108,0.1781,0.6607,0.3392,0.6607,0.9999,5328.6654,5557.1861
"anxiety_matched",0.0438,0.0701,-0.0947,0.1826,-0.0875,0.1884,0.7334,0.2666,0.7334,1.0003,5847.6094,5890.7949
"subjective_experience",0.0594,0.0859,-0.1175,0.2376,-0.1096,0.244,0.7579,0.2421,0.7579,1,3977.0754,4666.4093
"sentience",0.1336,0.0936,-0.0548,0.3165,-0.0592,0.3108,0.9178,0.0823,0.9178,1,4273.4288,5439.059
"self_consciousness",0.0712,0.0986,-0.1191,0.2681,-0.1193,0.2678,0.7682,0.2318,0.7682,0.9999,4139.1182,4711.3658
"well_being",0.1782,0.0973,-0.0123,0.3642,-0.0128,0.3619,0.9661,0.0339,0.9661,0.9999,4385.8246,4957.6325
"autonomy",0.0638,0.0838,-0.0999,0.2336,-0.1024,0.2286,0.7754,0.2246,0.7754,0.9999,4459.7078,5348.6875
"beneficence",0.0767,0.0798,-0.0835,0.2388,-0.0804,0.2414,0.8375,0.1625,0.8375,1.0003,4180.6904,5025.8699
"cognition",-0.1179,0.0833,-0.2846,0.0494,-0.2916,0.04,0.0828,0.9172,0.9172,1.0001,4215.9563,4676.5658
"LLM_FreqAboutonceamonth",-0.2968,0.2705,-0.8407,0.21,-0.8541,0.1962,0.1305,0.8695,0.8695,1,4358.8389,5070.6835
"LLM_FreqAboutonceeverytwoweeks",-0.4598,0.3569,-1.1654,0.2234,-1.1434,0.2416,0.0991,0.9009,0.9009,1.0004,4269.6799,5267.1912
"LLM_FreqAboutonceaweek",0.0782,0.2876,-0.4822,0.6483,-0.4742,0.6539,0.6061,0.3939,0.6061,0.9999,4231.8446,4669.298
"LLM_FreqAboutonceaday",-0.0917,0.3073,-0.7123,0.5226,-0.697,0.533,0.3807,0.6192,0.6192,1.0001,4511.4563,5148.8329
"LLM_FreqMorethanonceaday",-0.1986,0.3583,-0.9035,0.4868,-0.8719,0.5112,0.2845,0.7155,0.7155,1.0004,4313.35,5016.7071
"GenderWoman",-0.0519,0.1564,-0.3692,0.2593,-0.3698,0.2584,0.3681,0.6319,0.6319,1.0001,4058.5082,4780.6292
"GenderOther_small_n",-0.359,0.4566,-1.2524,0.5561,-1.2481,0.5579,0.2136,0.7864,0.7864,1,4433.9638,4996.3502
"Age",0.0417,0.0786,-0.1176,0.1968,-0.122,0.1894,0.7039,0.2961,0.7039,1.0002,4383.0356,5277.0211
"EthnBlackDAfrican",0.1526,0.2658,-0.3647,0.684,-0.3781,0.6685,0.7175,0.2825,0.7175,1.0002,4144.9832,4832.9171
"EthnCaucasianDWhite",0.1368,0.228,-0.3094,0.5944,-0.3351,0.5625,0.7314,0.2686,0.7314,0.9999,3912.6586,4377.7648
"EthnOther_small_n",0.295,0.3044,-0.3145,0.897,-0.3201,0.8878,0.8351,0.1649,0.8351,0.9999,4294.7186,5279.9351
"Relat.StatusYesonepartner",-0.1426,0.1728,-0.4909,0.1988,-0.4826,0.2042,0.2041,0.7959,0.7959,1,4061.8009,4452.3619
"Relat.StatusOther_small_n",0.2755,0.3821,-0.4552,1.0803,-0.4824,1.0492,0.7695,0.2305,0.7695,0.9999,3782.5476,4481.905
"EducationHighschool",-0.0538,0.2423,-0.5275,0.4207,-0.5251,0.4227,0.4166,0.5834,0.5834,1,4493.8426,5470.6803
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",0.3454,0.2022,-0.0551,0.7518,-0.0375,0.7635,0.9536,0.0464,0.9536,0.9999,3974.1373,4911.9053
"EducationSomecollege",0.0629,0.2088,-0.3484,0.494,-0.3672,0.4708,0.6231,0.3769,0.6231,1.0001,4138.3954,4861.149
"EducationOther_small_n",-0.1061,0.2694,-0.6394,0.4302,-0.6484,0.4115,0.3435,0.6565,0.6565,1,4483.4603,4979.0605
"StatusLadder",-0.0317,0.0736,-0.1849,0.1108,-0.1896,0.1052,0.3301,0.6699,0.6699,1.0002,4218.5991,4644.8419
"Political_Social",-0.0538,0.1466,-0.3493,0.2314,-0.3499,0.231,0.3492,0.6508,0.6508,1.0001,4200.9148,4929.2958
"Political_Economic",0.0512,0.1351,-0.2184,0.3323,-0.1998,0.3476,0.651,0.349,0.651,1.0006,3939.202,4585.621
"How.Religious_1",-0.0114,0.0872,-0.182,0.159,-0.1803,0.1603,0.448,0.552,0.552,1.0001,4367.2254,5336.4125
