"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-0.005,-0.1485,0.1058,-0.1446,0.1076,0.4495,0.5505
"Hierarchy","friends","Superintelligent AI - Human",-0.0721,-0.7024,0.4149,-0.6784,0.4379,0.3541,0.6459
"Mating","friends","Superintelligent AI - Human",-3.1913,-3.8881,-2.8254,-3.8715,-2.8118,0,1
"Transaction","friends","Superintelligent AI - Human",-0.7314,-1.117,-0.0037,-1.1435,-0.0627,0.0246,0.9754
"Care","romantic","Superintelligent AI - Human",-0.0779,-0.4585,0.0225,-0.3818,0.0441,0.1052,0.8948
"Hierarchy","romantic","Superintelligent AI - Human",0.8907,0.4396,1.0501,0.5135,1.0885,0.9991,9e-04
"Mating","romantic","Superintelligent AI - Human",-4.0279,-4.3584,-3.8521,-4.3348,-3.8406,0,1
"Transaction","romantic","Superintelligent AI - Human",0.0838,-0.7218,0.8804,-0.6483,0.9389,0.5911,0.4089
"Care","seller","Superintelligent AI - Human",2.2098,1.8724,2.897,1.8486,2.8685,1,0
"Hierarchy","seller","Superintelligent AI - Human",-0.857,-1.3149,-0.1542,-1.3159,-0.1565,0.0044,0.9956
"Mating","seller","Superintelligent AI - Human",0.0011,-0.0641,0.0713,-0.0616,0.0735,0.517,0.483
"Transaction","seller","Superintelligent AI - Human",-1.6525,-2.1005,-0.9605,-2.1253,-0.9919,0,1
"Care","supervisor","Superintelligent AI - Human",2.8883,2.5492,3.0332,2.6011,3.0571,1,0
"Hierarchy","supervisor","Superintelligent AI - Human",-0.908,-1.043,-0.5747,-1.0713,-0.6276,0,1
"Mating","supervisor","Superintelligent AI - Human",-0.0061,-0.09,0.0589,-0.0804,0.0676,0.4105,0.5895
"Transaction","supervisor","Superintelligent AI - Human",-1.9861,-2.289,-1.5721,-2.2993,-1.5937,0,1
"Care","teacher","Superintelligent AI - Human",0.1124,-0.0962,0.7096,-0.1382,0.6354,0.8082,0.1918
"Hierarchy","teacher","Superintelligent AI - Human",-2.938,-3.1378,-2.4823,-3.1613,-2.542,0,1
"Mating","teacher","Superintelligent AI - Human",0.0054,-0.0324,0.0559,-0.0378,0.0501,0.6245,0.3755
"Transaction","teacher","Superintelligent AI - Human",0.9129,0.4659,1.1658,0.5147,1.191,0.9995,5e-04
"Care","therapist","Superintelligent AI - Human",0.0049,-0.0459,0.0725,-0.0506,0.0654,0.5911,0.4089
"Hierarchy","therapist","Superintelligent AI - Human",-1.398,-2.0288,-0.9505,-2.0198,-0.9454,0,1
"Mating","therapist","Superintelligent AI - Human",0.0022,-0.037,0.0494,-0.038,0.048,0.5561,0.4439
"Transaction","therapist","Superintelligent AI - Human",-0.7353,-1.079,-0.0036,-1.1223,-0.0763,0.0246,0.9754
"Care","workers","Superintelligent AI - Human",1.8806,1.4167,2.0388,1.4829,2.0686,1,0
"Hierarchy","workers","Superintelligent AI - Human",-0.0356,-0.3294,0.1812,-0.297,0.2065,0.3579,0.6421
"Mating","workers","Superintelligent AI - Human",-1.9325,-2.0856,-1.5294,-2.1223,-1.6,0,1
"Transaction","workers","Superintelligent AI - Human",-1.1805,-1.7481,-0.9414,-1.6778,-0.8993,0,1
