"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-0.0117,-0.1376,0.0701,-0.133,0.0739,0.371,0.629
"Hierarchy","friends","Superintelligent AI - Human",-7e-04,-0.2248,0.2362,-0.2369,0.2205,0.4971,0.5029
"Mating","friends","Superintelligent AI - Human",-3.8953,-4.0197,-3.5426,-4.0407,-3.606,0,1
"Transaction","friends","Superintelligent AI - Human",-0.2004,-1.0641,0.3873,-1.0626,0.3881,0.2519,0.7481
"Care","romantic","Superintelligent AI - Human",-0.0229,-0.1841,0.0508,-0.1558,0.0628,0.2716,0.7284
"Hierarchy","romantic","Superintelligent AI - Human",-0.681,-1.0386,0.0023,-1.061,-0.0276,0.0254,0.9746
"Mating","romantic","Superintelligent AI - Human",-6.0176,-6.6643,-5.4784,-6.6467,-5.467,0,1
"Transaction","romantic","Superintelligent AI - Human",0.0077,-0.4928,0.5498,-0.5001,0.5409,0.5155,0.4845
"Care","seller","Superintelligent AI - Human",2.7956,2.0819,3.0944,2.1462,3.1277,1,0
"Hierarchy","seller","Superintelligent AI - Human",-1.6343,-2.28,-0.9199,-2.2543,-0.9048,0,1
"Mating","seller","Superintelligent AI - Human",-0.0169,-0.162,0.0658,-0.1475,0.0749,0.3314,0.6686
"Transaction","seller","Superintelligent AI - Human",-2.0269,-2.7339,-1.3621,-2.7531,-1.3862,0,1
"Care","supervisor","Superintelligent AI - Human",2.7431,2.0487,3.0006,2.1497,3.042,1,0
"Hierarchy","supervisor","Superintelligent AI - Human",-0.8918,-1.1183,-0.4814,-1.1363,-0.5168,3e-04,0.9998
"Mating","supervisor","Superintelligent AI - Human",-0.0043,-0.1083,0.0795,-0.1071,0.0801,0.449,0.551
"Transaction","supervisor","Superintelligent AI - Human",-2.0526,-2.8905,-1.2516,-2.9429,-1.3157,0,1
"Care","teacher","Superintelligent AI - Human",0.9197,0.6283,1.0465,0.6728,1.0657,1,0
"Hierarchy","teacher","Superintelligent AI - Human",-2.9103,-3.2097,-2.2456,-3.2323,-2.2891,0,1
"Mating","teacher","Superintelligent AI - Human",0.0065,-0.0438,0.0758,-0.0501,0.0676,0.6105,0.3895
"Transaction","teacher","Superintelligent AI - Human",0.0165,-0.5516,0.5987,-0.5525,0.5967,0.5335,0.4665
"Care","therapist","Superintelligent AI - Human",0.0813,-0.0703,0.5689,-0.1048,0.4986,0.8219,0.1781
"Hierarchy","therapist","Superintelligent AI - Human",-2.8047,-3.2246,-2.0525,-3.2313,-2.0666,0,1
"Mating","therapist","Superintelligent AI - Human",0.0059,-0.0502,0.0788,-0.053,0.0746,0.5989,0.4011
"Transaction","therapist","Superintelligent AI - Human",-1.8344,-2.1412,-1.2234,-2.1803,-1.2822,0,1
"Care","workers","Superintelligent AI - Human",1.0918,0.6395,1.7869,0.6371,1.7843,1,0
"Hierarchy","workers","Superintelligent AI - Human",-1.2228,-1.9959,-0.6794,-2.009,-0.6984,1e-04,0.9999
"Mating","workers","Superintelligent AI - Human",-2.2445,-2.993,-1.8779,-2.9757,-1.8689,0,1
"Transaction","workers","Superintelligent AI - Human",-1.0762,-1.4936,-0.804,-1.4571,-0.7749,0,1
