"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-0.0159,-0.2198,0.1111,-0.1964,0.1282,0.389,0.611
"Hierarchy","friends","Superintelligent AI - Human",0.0101,-0.3473,0.4055,-0.3175,0.4311,0.5352,0.4648
"Mating","friends","Superintelligent AI - Human",-3.8827,-4.0509,-3.446,-4.0793,-3.5194,0,1
"Transaction","friends","Superintelligent AI - Human",0.7851,-0.4585,1.654,-0.3337,1.7515,0.9061,0.0939
"Care","romantic","Superintelligent AI - Human",-0.0246,-0.2891,0.1322,-0.2791,0.1367,0.3564,0.6436
"Hierarchy","romantic","Superintelligent AI - Human",-0.078,-0.8011,0.4361,-0.8022,0.4321,0.3588,0.6412
"Mating","romantic","Superintelligent AI - Human",-3.9133,-4.2295,-3.3272,-4.269,-3.3806,0,1
"Transaction","romantic","Superintelligent AI - Human",1.2476,0.2227,2.2178,0.2924,2.2782,0.9919,0.0081
"Care","seller","Superintelligent AI - Human",1.5208,0.4924,2.2329,0.5468,2.2721,0.9985,0.0015
"Hierarchy","seller","Superintelligent AI - Human",-0.1222,-0.962,0.6133,-0.968,0.6069,0.3655,0.6345
"Mating","seller","Superintelligent AI - Human",-0.2243,-0.951,0.0717,-0.8928,0.1074,0.1071,0.8929
"Transaction","seller","Superintelligent AI - Human",-2.3264,-3.1846,-1.6546,-3.1677,-1.6447,0,1
"Care","supervisor","Superintelligent AI - Human",3.0016,2.5751,3.6003,2.5393,3.5592,1,0
"Hierarchy","supervisor","Superintelligent AI - Human",-0.1659,-0.8964,0.2631,-0.8965,0.2631,0.225,0.775
"Mating","supervisor","Superintelligent AI - Human",-0.0122,-0.1604,0.0955,-0.1451,0.1045,0.4008,0.5992
"Transaction","supervisor","Superintelligent AI - Human",-2.9252,-3.5423,-2.1721,-3.5237,-2.1598,0,1
"Care","teacher","Superintelligent AI - Human",0.1871,-0.3128,0.9148,-0.2907,0.9278,0.7609,0.2391
"Hierarchy","teacher","Superintelligent AI - Human",-2.6454,-3.0692,-1.8527,-3.1124,-1.9258,0,1
"Mating","teacher","Superintelligent AI - Human",0,-0.1162,0.114,-0.1181,0.1107,0.5,0.5
"Transaction","teacher","Superintelligent AI - Human",0.4541,-0.6387,1.2655,-0.6037,1.2912,0.7968,0.2032
"Care","therapist","Superintelligent AI - Human",1.0381,0.5573,1.7112,0.5537,1.7048,1,0
"Hierarchy","therapist","Superintelligent AI - Human",-2.7148,-3.2998,-1.5699,-3.3746,-1.6887,0,1
"Mating","therapist","Superintelligent AI - Human",0.0055,-0.0774,0.1019,-0.0746,0.1032,0.5666,0.4334
"Transaction","therapist","Superintelligent AI - Human",-2.4936,-3.1902,-1.6214,-3.206,-1.6483,0,1
"Care","workers","Superintelligent AI - Human",1.2489,0.7837,1.9604,0.786,1.961,1,0
"Hierarchy","workers","Superintelligent AI - Human",-0.3206,-1.1728,0.522,-1.157,0.5353,0.226,0.774
"Mating","workers","Superintelligent AI - Human",-3.0511,-3.8962,-2.1104,-3.9993,-2.2688,0,1
"Transaction","workers","Superintelligent AI - Human",-0.7521,-1.2544,0.003,-1.2451,0.0069,0.0255,0.9745
