"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-1.9874,-2.1306,-1.8477,-2.1318,-1.8499,0,1
"Hierarchy","friends","Superintelligent AI - Human",4.5912,3.8915,5.0193,3.9341,5.0379,1,0
"Mating","friends","Superintelligent AI - Human",-3.2116,-3.883,-2.829,-3.8583,-2.8079,0,1
"Transaction","friends","Superintelligent AI - Human",0.387,-0.0983,0.998,-0.086,1.0059,0.9091,0.0909
"Care","romantic","Superintelligent AI - Human",-2.1067,-2.6763,-1.9249,-2.5734,-1.8808,0,1
"Hierarchy","romantic","Superintelligent AI - Human",4.9297,4.5029,5.1752,4.5278,5.1864,1,0
"Mating","romantic","Superintelligent AI - Human",-4.8683,-5.3986,-4.1091,-5.3691,-4.0859,0,1
"Transaction","romantic","Superintelligent AI - Human",1.1725,0.5125,1.9307,0.6038,1.9913,0.9989,0.0011
"Care","seller","Superintelligent AI - Human",0.0212,-0.1598,0.2424,-0.1695,0.2287,0.6108,0.3892
"Hierarchy","seller","Superintelligent AI - Human",2.0007,1.7592,2.2408,1.7546,2.2334,1,0
"Mating","seller","Superintelligent AI - Human",-0.0037,-0.1015,0.0787,-0.1031,0.0764,0.4544,0.5456
"Transaction","seller","Superintelligent AI - Human",-0.5202,-1.129,0.0547,-1.1047,0.0731,0.0484,0.9516
"Care","supervisor","Superintelligent AI - Human",-1.0429,-1.3347,-0.87,-1.3108,-0.8521,0,1
"Hierarchy","supervisor","Superintelligent AI - Human",0.1402,-0.075,0.7615,-0.101,0.6928,0.8588,0.1412
"Mating","supervisor","Superintelligent AI - Human",-0.0022,-0.0733,0.0646,-0.0736,0.064,0.4712,0.5288
"Transaction","supervisor","Superintelligent AI - Human",-0.5795,-1.0441,0.0047,-1.0451,0.0031,0.0278,0.9722
"Care","teacher","Superintelligent AI - Human",0.6107,-0.0234,0.9997,-0.0025,1.0111,0.9643,0.0357
"Hierarchy","teacher","Superintelligent AI - Human",3.9761,3.792,4.1333,3.7908,4.1314,1,0
"Mating","teacher","Superintelligent AI - Human",0.0055,-0.0366,0.06,-0.041,0.0539,0.619,0.381
"Transaction","teacher","Superintelligent AI - Human",1.9648,1.7128,2.1566,1.7207,2.1605,1,0
"Care","therapist","Superintelligent AI - Human",0.042,-0.1074,0.2849,-0.1154,0.274,0.7104,0.2896
"Hierarchy","therapist","Superintelligent AI - Human",3.166,2.8987,3.7231,2.8449,3.6394,1,0
"Mating","therapist","Superintelligent AI - Human",0.0045,-0.041,0.0614,-0.0404,0.0617,0.5904,0.4096
"Transaction","therapist","Superintelligent AI - Human",1.1402,0.6998,1.8603,0.6721,1.8191,0.9999,1e-04
"Care","workers","Superintelligent AI - Human",-1.0359,-1.3262,-0.8638,-1.2945,-0.8417,0,1
"Hierarchy","workers","Superintelligent AI - Human",3.7742,3.0132,4.0978,3.0996,4.1415,1,0
"Mating","workers","Superintelligent AI - Human",-1.9031,-2.0786,-1.3892,-2.1233,-1.4775,0,1
"Transaction","workers","Superintelligent AI - Human",-1.7962,-2.0308,-1.13,-2.0627,-1.2211,0,1
