"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-2.0455,-2.6014,-1.8123,-2.5306,-1.7848,0,1
"Hierarchy","friends","Superintelligent AI - Human",4.8776,4.4331,5.083,4.486,5.1097,1,0
"Mating","friends","Superintelligent AI - Human",-3.8633,-4.0134,-3.4515,-4.0458,-3.5237,0,1
"Transaction","friends","Superintelligent AI - Human",1.0537,0.455,1.8262,0.5072,1.8759,0.9995,5e-04
"Care","romantic","Superintelligent AI - Human",-2.7633,-3.0951,-2.0421,-3.122,-2.0718,0,1
"Hierarchy","romantic","Superintelligent AI - Human",4.9641,4.1796,5.7876,4.1785,5.785,1,0
"Mating","romantic","Superintelligent AI - Human",-5.4405,-6.1398,-4.5313,-6.1896,-4.6101,0,1
"Transaction","romantic","Superintelligent AI - Human",1.981,1.1234,2.803,1.146,2.8179,1,0
"Care","seller","Superintelligent AI - Human",0.0888,-0.1429,0.5431,-0.1598,0.5139,0.7708,0.2293
"Hierarchy","seller","Superintelligent AI - Human",2.0832,1.6094,2.803,1.5995,2.7873,1,0
"Mating","seller","Superintelligent AI - Human",-0.0168,-0.1875,0.0796,-0.1678,0.09,0.351,0.649
"Transaction","seller","Superintelligent AI - Human",-1.353,-2.0751,-0.9574,-2.0367,-0.9301,0,1
"Care","supervisor","Superintelligent AI - Human",-1.0935,-1.6878,-0.7158,-1.658,-0.6945,1e-04,0.9999
"Hierarchy","supervisor","Superintelligent AI - Human",0.8479,0.41,1.0321,0.4707,1.0581,0.9989,0.0011
"Mating","supervisor","Superintelligent AI - Human",0.0018,-0.0843,0.0882,-0.0844,0.088,0.5245,0.4755
"Transaction","supervisor","Superintelligent AI - Human",-0.7523,-1.0895,-0.0246,-1.1239,-0.0763,0.0198,0.9802
"Care","teacher","Superintelligent AI - Human",0.8369,0.1393,1.2456,0.1375,1.2427,0.996,0.004
"Hierarchy","teacher","Superintelligent AI - Human",4.0347,3.7807,4.5475,3.7365,4.4762,1,0
"Mating","teacher","Superintelligent AI - Human",0.0058,-0.0503,0.079,-0.0503,0.0789,0.5971,0.4029
"Transaction","teacher","Superintelligent AI - Human",1.3275,0.7079,2.0173,0.7409,2.0401,0.9999,1e-04
"Care","therapist","Superintelligent AI - Human",0.0447,-0.1309,0.3287,-0.1431,0.3096,0.6946,0.3054
"Hierarchy","therapist","Superintelligent AI - Human",3.933,3.5224,4.1949,3.5535,4.2061,1,0
"Mating","therapist","Superintelligent AI - Human",0.0076,-0.0546,0.0962,-0.058,0.0915,0.608,0.392
"Transaction","therapist","Superintelligent AI - Human",-0.5056,-1.0759,0.198,-1.1105,0.1451,0.0964,0.9036
"Care","workers","Superintelligent AI - Human",-0.9191,-1.5549,-0.1914,-1.4647,-0.1152,0.0031,0.9969
"Hierarchy","workers","Superintelligent AI - Human",3.6413,2.7848,4.08,2.8682,4.1168,1,0
"Mating","workers","Superintelligent AI - Human",-2.1479,-2.9045,-1.8044,-2.8577,-1.7689,0,1
"Transaction","workers","Superintelligent AI - Human",-0.4815,-1.2691,0.0146,-1.1902,0.0513,0.032,0.968
