"category","relationship","contrast","estimate","ci_lower","ci_upper","lower_HPD","upper_HPD","prob_gt_0","prob_lt_0"
"Care","friends","Superintelligent AI - Human",-1.5572,-2.059,-0.9478,-2.058,-0.9475,0,1
"Hierarchy","friends","Superintelligent AI - Human",4.8673,4.1542,5.3848,4.1539,5.3848,1,0
"Mating","friends","Superintelligent AI - Human",-3.765,-4.039,-3.0697,-4.0687,-3.1441,0,1
"Transaction","friends","Superintelligent AI - Human",1.4826,0.6284,2.1541,0.6708,2.1922,0.9992,8e-04
"Care","romantic","Superintelligent AI - Human",-1.3287,-2.0243,-0.8946,-2.0085,-0.8849,0,1
"Hierarchy","romantic","Superintelligent AI - Human",3.8007,2.9868,4.4844,2.9488,4.4404,1,0
"Mating","romantic","Superintelligent AI - Human",-4.0128,-4.4621,-3.6889,-4.4445,-3.6769,0,1
"Transaction","romantic","Superintelligent AI - Human",2.2402,1.4135,3.0058,1.493,3.0491,1,0
"Care","seller","Superintelligent AI - Human",-0.4517,-1.2831,0.1611,-1.247,0.1837,0.0996,0.9004
"Hierarchy","seller","Superintelligent AI - Human",2.3912,1.7057,3.1511,1.7086,3.1538,1,0
"Mating","seller","Superintelligent AI - Human",-0.1001,-0.7429,0.1366,-0.6741,0.1705,0.2135,0.7865
"Transaction","seller","Superintelligent AI - Human",-2.2048,-2.9966,-1.4063,-3.0194,-1.4352,0,1
"Care","supervisor","Superintelligent AI - Human",-0.1557,-0.9256,0.2994,-0.9042,0.3097,0.2526,0.7474
"Hierarchy","supervisor","Superintelligent AI - Human",-0.02,-0.7771,0.697,-0.7947,0.6777,0.4706,0.5294
"Mating","supervisor","Superintelligent AI - Human",-0.0107,-0.1543,0.1043,-0.1447,0.1136,0.4132,0.5868
"Transaction","supervisor","Superintelligent AI - Human",-1.0763,-1.7768,-0.4931,-1.7431,-0.471,5e-04,0.9995
"Care","teacher","Superintelligent AI - Human",-0.3928,-1.0972,0.4281,-1.1717,0.3274,0.1673,0.8328
"Hierarchy","teacher","Superintelligent AI - Human",3.8413,3.1982,4.1265,3.2498,4.1578,1,0
"Mating","teacher","Superintelligent AI - Human",0.0033,-0.1316,0.1468,-0.123,0.1539,0.5268,0.4732
"Transaction","teacher","Superintelligent AI - Human",0.8737,-0.2157,1.8778,-0.1687,1.9114,0.9425,0.0575
"Care","therapist","Superintelligent AI - Human",0.2081,-0.1795,0.9683,-0.2285,0.9114,0.8384,0.1616
"Hierarchy","therapist","Superintelligent AI - Human",2.3647,1.8342,3.135,1.826,3.1234,1,0
"Mating","therapist","Superintelligent AI - Human",0.0068,-0.0843,0.1193,-0.0911,0.1114,0.5632,0.4368
"Transaction","therapist","Superintelligent AI - Human",-0.9017,-1.6582,-0.0761,-1.6046,-0.0334,0.0149,0.9851
"Care","workers","Superintelligent AI - Human",-1.1525,-1.915,-0.6309,-1.903,-0.6259,0,1
"Hierarchy","workers","Superintelligent AI - Human",2.845,2.0014,3.5377,1.9702,3.4977,1,0
"Mating","workers","Superintelligent AI - Human",-3.0276,-3.8904,-2.0374,-3.9777,-2.1822,0,1
"Transaction","workers","Superintelligent AI - Human",-0.1508,-0.8689,0.3024,-0.8438,0.32,0.2564,0.7436
